"","Trait","Trait_Info","Paper_ID","Cohort_ID","Rodent_type","Strain","Shared_Control","F0_Parent_Exposed","Lineage_HFD","Exposure_Type","F2_Diet_at_measurement","Age_Days","Sex","Generation","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_sample_control.","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_sample_treatment..","Source","Group_Label_Paper","yi","vi"
"1","Body_Weight","None","Sarker2018","Sarker2018fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",91,"Male","F2",29.941,4.191562954,0.605,48,"Exact",32.93,1.98,0.27,52,"Exact","Fig 4","mCTR (Control), mHFD (Treatment)",0.0951553178209621,0.000477824253308169
"2","Body_Weight","None","Sarker2018","Sarker2018fmmm","Mouse","C57BL/6",2,"Female","f-m-m-m","One off","Standard",91,"Male","F3",30.98,2.359279127,0.503,22,"Exact",32.47,2.3,0.45,26,"Exact","Fig 4","mCTR (Control), mHFD (Treatment)",0.046974751126032,0.000456599255396341
"3","Body_Weight","None","Sarker2018","Sarker2018fmf","Mouse","C57BL/6",3,"Female","f-m-f","One off","Standard",91,"Female","F2",23.774,1.58391919,0.28,32,"Exact",25.55,1.4,0.24,34,"Exact","Fig 4","fCTR (Control), fHFD (Treatment)",0.0720447700912809,0.000227018249072522
"4","Body_Weight","None","Sarker2018","Sarker2018fmmf","Mouse","C57BL/6",4,"Female","f-m-m-f","One off","Standard",91,"Female","F3",25.176,2.312094289,0.517,20,"Exact",25.99,1.26,0.25,26,"Exact","Fig 4","fCTR (Control), fHFD (Treatment)",0.0318206888912931,0.000512101151328312
"5","Body_Weight","None","Sarker2018","Sarker2018fmm","Mouse","C57BL/6",1,"Female","f-m-m","One off","Standard",28,"Male","F2",18.494,2.979127389,0.43,48,"Exact",19.67,2.3,0.32,52,"Exact","Fig 4","mCTR (Control), mHFD (Treatment)",0.0616482772455209,0.000803531057460776
"6","Body_Weight","None","Sarker2018","Sarker2018fmmm","Mouse","C57BL/6",2,"Female","f-m-m-m","One off","Standard",28,"Male","F3",17.924,3.039389412,0.648,22,"Exact",20.6,1.62,0.32,26,"Exact","Fig 4","mCTR (Control), mHFD (Treatment)",0.139150478871639,0.00154487415625737
"7","Body_Weight","None","Sarker2018","Sarker2018fmf","Mouse","C57BL/6",3,"Female","f-m-f","One off","Standard",28,"Female","F2",14.615,2.093036072,0.37,32,"Exact",15.94,1.33,0.23,34,"Exact","Fig 4","fCTR (Control), fHFD (Treatment)",0.0867832747988597,0.000845684159335905
"8","Body_Weight","None","Sarker2018","Sarker2018fmmf","Mouse","C57BL/6",4,"Female","f-m-m-f","One off","Standard",28,"Female","F3",16.097,2.052710403,0.459,20,"Exact",16.1,1.51,0.3,26,"Exact","Fig 4","fCTR (Control), fHFD (Treatment)",0.000186352766324851,0.0011514050012896
"9","Body_Weight","None","Dunn2011","Dunn2011fmfm","Mouse","C57BL/6",1,"Female","f-m-f-m","One off","Standard",140,"Male","F3",26.15384615,1.480460834,0.604395604,6,"Estimate",25.22,0.67,0.27,6,"Estimate","Fig 3","Male chow (Control) 3hf(maternal)male (treatment)",-0.036358929464838,0.000651664461582022
"10","Body_Weight","None","Dunn2011","Dunn2011fmmm","Mouse","C57BL/6",1,"Female","f-m-m-m","One off","Standard",140,"Male","F3",26.15384615,1.480460834,0.604395604,6,"Estimate",26.26,1.08,0.44,6,"Estimate","Fig 3","Male chow (Control) 3hf(paternal)male (treatment)",0.0040506088730387,0.000815944766059733
