Ref_short,Title,Main_reason,Authors,Journal,Year,Reasons for Exclusion,Comments,,Summary_reson,Summary_count
"(Adams, Coon and Poling, 1974)",Insecticides in the Tissues of Four Generations of Rats Fed Different Dietary Fats Containing a Mixture of Chlorinated Hydrocarbon Insecticides,Irrelevant traits/data,"Adams, M. and Coon, F.B. and Poling, C.E.",,1974,Doesn't report traits we are interested in; not a typical obesogenic treatment,Diet combined with insecticides,,Duplicated data,3
"(Alm et al., 2017)",Grandpaternal-induced transgenerational dietary reprogramming of the unfolded protein response in skeletal muscle,Duplicated data,"Alm, P.S. and de Castro Barbosa, T. and BarrÕŒs, R. and Krook, A. and Zierath, J.R.",,2017,"Same cohort as previous Barbosa paper, no need for this paper as they don't have anything else we may need",,,Irrelevant traits/data,5
"(Almind and Kahn, 2004)",Genetic determinants of energy expenditure and insulin resistance in diet-induced obesity in mice,Not an obesogenic diet treatment,"Almind, K. and Kahn, C.R.",,2004,F0 not treated with HFD,,,No appropriate control group,5
"(Benyshek, Johnston and Martin, 2004)","Post-natal diet determines insulin resistance in fetally malnourished, low birthweight rats (F1) but diet does not modify the insulin resistance of their offspring (F2).",No appropriate control group,"Benyshek, D.C., Johnston, C.S., Martin, J.F.",,2004,Excluded because there is no controls for F2,,,Not a transgenerational study,6
"(Burdge et al., 2011)","Progressive, Transgenerational Changes in Offspring Phenotype and Epigenotype following Nutritional Transition",Irrelevant traits/data,"Burdge, G.C., Hoile, S.P., Uller, T., et al.",,2011,No abs value on body weight for generations required,,,Not an obesogenic diet treatment,8
"(Cai et al., 2012)",Oral advanced glycation endproducts (AGEs) promote insulin resistance and diabetes by depleting the antioxidant defenses AGE receptor-1 and sirtuin 1,Not an obesogenic diet treatment,"Cai, W. and Ramdas, M. and Zhu, L. and Chen, X. and Striker, G.E. and Vlassara, H.",,2012,Not a HFD treatment,,,Not willd-type lab rodents,9
"(Chambers et al., 2016)",High-fat diet disrupts metabolism in two generations of rats in a parent-of-origin specific manner,Not willd-type lab rodents,"Chambers, T.J.G. and Morgan, M.D. and Heger, A.H. and Sharpe, R.M. and Drake, A.J.",,2016,Mutant used,,,Unpublished/Insuffcient data,2
"(Cropley et al., 2016)",Male-lineage transmission of an acquired metabolic phenotype induced by grand-paternal obesity,Not willd-type lab rodents,"Cropley, J.E. and Eaton, S.A. and Aiken, A. and Young, P.E. and Giannoulatou, E. and Ho, J.W.K. and Buckland, M.E. and Keam, S.P. and Hutvagner, G. and Humphreys, D.T. and Langley, K.G. and Henstridge, D.C. and Martin, D.I.K. and Febbraio, M.A. and Suter, C.M.",,2016,F0 used a mutant,,,Grand Total,34
"(Diaz and Taylor, 1998)",Abnormally high nourishment during sensitive periods results in body weight changes across generations,Not an obesogenic diet treatment,"Diaz, J. and Taylor, E.M.",,1998,Not an obesogenic diet treatment,Individuals were injected with formula,,,
"(Dunn, 2012)",Transgenerational epigenetic effects of parental high fat diet exposure,Duplicated data,"Dunn, G.A.",,2011,Dissertation is in format of papers already included ,,,,
"(Eaton et al., 2018)",Maternal obesity heritably perturbs offspring metabolism for three generations without serial programming,Not willd-type lab rodents,"Eaton, S., Aiken, A., Young, P. et al.",,2018,Excluded because a mutated mouse was used for F0 and it is impossible to tell if there was HFD given to the control groups because it was assigned randomly,,,,
