"Data","Fixed effects","Mean","CI.lb","CI.ub","p","R2","row"
"One-off lnRR",,,,,,0.126,1
,"Grandparents both sexes exposed, Grand-offspring both sexes measured, Adiposity (intercept)",0.136,-0.064,0.337,0.181,,2
,"sqrt(VlnRR)",-0.062,-0.451,0.327,0.754,,3
,"Sex of exposed grandparents: Both - Female",-0.006,-0.081,0.068,0.865,,4
,"Sex of exposed grandparents: Both - Male",-0.032,-0.114,0.051,0.448,,5
,"Sex of grand-offsprings: Both - Female",0.077,-0.053,0.207,0.244,,6
,"Sex of grand-offsprings: Both - Male",0.088,-0.041,0.218,0.181,,7
,"Trait: Adiposity – Body weight",-0.152,-0.214,-0.089,0,,8
,"Trait: Adiposity – Glucose fasting",-0.169,-0.261,-0.077,0,,9
,"Trait: Adiposity – Glucose tolerance",-0.137,-0.203,-0.071,0,,10
,"Trait: Adiposity – Insulin fasting",-0.093,-0.175,-0.011,0.026,,11
,"Trait: Adiposity – Insulin tolerance",-0.164,-0.255,-0.072,0.001,,12
,"Trait: Adiposity – Leptin",0.016,-0.09,0.122,0.772,,13
,"Trait: Adiposity – Triglicerides",-0.061,-0.122,0,0.05,,14
"One-off lnCVR",,,,,,0.103,15
,"Grandparents both sexes exposed, Grand-offspring both sexes measured, Adiposity (intercept)",-0.43,-1.242,0.382,0.298,,16
,"sqrt(VlnRR)",0.834,-0.059,1.727,0.067,,17
,"Sex of exposed grandparents: Both - Female",-0.192,-0.572,0.189,0.322,,18
,"Sex of exposed grandparents: Both - Male",-0.189,-0.599,0.221,0.365,,19
,"Sex of grand-offsprings: Both - Female",0.167,-0.426,0.76,0.579,,20
,"Sex of grand-offsprings: Both - Male",0.23,-0.363,0.823,0.446,,21
,"Trait: Adiposity – Body weight",0.225,0.012,0.437,0.038,,22
,"Trait: Adiposity – Glucose fasting",0.326,-0.07,0.722,0.106,,23
,"Trait: Adiposity – Glucose tolerance",0.328,0.08,0.577,0.01,,24
,"Trait: Adiposity – Insulin fasting",-0.118,-0.392,0.156,0.399,,25
,"Trait: Adiposity – Insulin tolerance",0.38,0.039,0.721,0.029,,26
,"Trait: Adiposity – Leptin",0.173,-0.193,0.539,0.352,,27
,"Trait: Adiposity – Triglicerides",0.12,-0.105,0.345,0.295,,28
"Multigenerational lnRR",,,,,135,0.42,29
,"Grandparents female sex exposed, Grand-offspring both sexes measured, Adiposity (intercept)",0.517,0.084,0.951,0.02,,30
,"sqrt(VlnRR)",1.605,0.51,2.7,0.004,,31
,"Sex of exposed grandparents:  Female - Male",-0.269,-0.546,0.008,0.057,,32
,"Sex of grand-offsprings: Both - Female",0.104,-0.295,0.502,0.608,,33
,"Sex of grand-offsprings: Both - Male",0.092,-0.317,0.501,0.657,,34
,"Trait: Adiposity – Body weight",-0.513,-0.727,-0.299,0,,35
,"Trait: Adiposity – Glucose fasting",-0.554,-0.819,-0.288,0,,36
,"Trait: Adiposity – Glucose tolerance",-0.579,-0.854,-0.304,0,,37
,"Trait: Adiposity – Insulin fasting",-0.353,-0.685,-0.022,0.037,,38
,"Trait: Adiposity – Insulin tolerance",-0.602,-0.885,-0.318,0,,39
,"Trait: Adiposity – Leptin",0.023,-0.27,0.317,0.876,,40
,"Trait: Adiposity – Triglicerides",-0.488,-0.741,-0.236,0,,41
"Multigenerational lnCVR",,,,,135,0.209,42
,"Grandparents female sex exposed, Grand-offspring both sexes measured, Adiposity (intercept)",0.53,-0.157,1.217,0.129,,43
,"sqrt(VlnRR)",-1.175,-2.513,0.163,0.085,,44
,"Sex of exposed grandparents:  Female - Male",-0.117,-0.465,0.23,0.505,,45
,"Sex of grand-offsprings: Both - Female",0.092,-0.32,0.504,0.658,,46
,"Sex of grand-offsprings: Both - Male",-0.083,-0.498,0.331,0.692,,47
,"Trait: Adiposity – Body weight",-0.021,-0.376,0.333,0.905,,48
,"Trait: Adiposity – Glucose fasting",-0.287,-0.76,0.186,0.232,,49
,"Trait: Adiposity – Glucose tolerance",0.03,-0.484,0.544,0.909,,50
,"Trait: Adiposity – Insulin fasting",-0.346,-0.875,0.182,0.197,,51
,"Trait: Adiposity – Insulin tolerance",0.227,-0.286,0.74,0.382,,52
,"Trait: Adiposity – Leptin",-0.483,-0.985,0.018,0.059,,53
,"Trait: Adiposity – Triglicerides",-0.438,-0.884,0.009,0.055,,54
