"Data","Publication year","Mean","CI.lb","CI.ub","p","R2","row"
"One-off lnRR",,,,,,0.001,1
,"Intercept",0.083,-0.072,0.237,0.297,,2
,"Slope",0.006,-0.012,0.024,0.494,,3
"One-off lnCVR",,,,,,0.006,4
,"Intercept",0.035,-0.137,0.207,0.69,,5
,"Slope",-0.035,-0.132,0.063,0.488,,6
"Multigenerational lnRR",,,,,,0.059,7
,"Intercept",0.354,0.073,0.636,0.014,,8
,"Slope",0.118,-0.028,0.263,0.113,,9
"Multigenerational lnCVR",,,,,,0.049,10
,"Intercept",-0.071,-0.251,0.109,0.44,,11
,"Slope",-0.109,-0.232,0.014,0.084,,12
