"Data","Grand-offspring trait type","Mean","CI.lb","CI.ub","k","R2","row"
"One-off lnRR",,,,,,0.093,1
,"Adiposity",0.182,0.025,0.338,54,,2
,"Body weight",0.037,-0.114,0.187,109,,3
,"Glucose fasting",0.019,-0.145,0.184,7,,4
,"Glusoce tolerance",0.051,-0.104,0.206,26,,5
,"Insulin fasting",0.091,-0.072,0.254,22,,6
,"Insulin tolerance",0.025,-0.139,0.19,12,,7
,"Leptin",0.205,0.029,0.381,10,,8
,"Triglicerides",0.124,-0.032,0.28,32,,9
,"Adiposity – Body weight",-0.145,-0.198,-0.092,,,10
,"Adiposity – Glucose fasting",-0.163,-0.246,-0.079,,,11
,"Adiposity – Glucose tolerance",-0.131,-0.192,-0.07,,,12
,"Adiposity – Insulin fasting",-0.091,-0.171,-0.011,,,13
,"Adiposity – Insulin tolerance",-0.156,-0.245,-0.068,,,14
,"Adiposity – Leptin",0.023,-0.08,0.127,,,15
,"Adiposity – Triglycerides",-0.058,-0.117,0.001,,,16
,"Body weight – Glucose fasting",-0.017,-0.093,0.059,,,17
,"Body weight – Glucose tolerance",0.014,-0.031,0.06,,,18
,"Body weight – Insulin fasting",0.054,-0.014,0.123,,,19
,"Body weight – Insulin tolerance",-0.011,-0.089,0.067,,,20
,"Body weight – Leptin",0.169,0.072,0.265,,,21
,"Body weight – Triglycerides",0.087,0.037,0.138,,,22
,"Glucose fasting – Glucose tolerance",0.032,-0.049,0.113,,,23
,"Glucose fasting – Insulin fasting",0.072,-0.023,0.166,,,24
,"Glucose fasting – Insulin tolerance",0.006,-0.1,0.112,,,25
,"Glucose fasting – Leptin",0.186,0.071,0.301,,,26
,"Glucose fasting – Triglycerides",0.105,0.02,0.19,,,27
,"Glucose tolerance – Insulin fasting",0.04,-0.037,0.117,,,28
,"Glucose tolerance – Insulin tolerance",-0.025,-0.11,0.059,,,29
,"Glucose tolerance – Leptin",0.154,0.053,0.256,,,30
,"Glucose tolerance – Triglycerides",0.073,0.013,0.133,,,31
,"Insulin fasting – Insulin tolerance",-0.066,-0.165,0.034,,,32
,"Insulin fasting – Leptin",0.114,0.003,0.226,,,33
,"Insulin fasting – Triglycerides",0.033,-0.046,0.112,,,34
,"Insulin tolerance – Leptin",0.18,0.061,0.299,,,35
,"Insulin tolerance – Triglycerides",0.099,0.011,0.186,,,36
,"Leptin – Triglycerides",-0.081,-0.184,0.021,,,37
"One-off lnCVR",,,,,,0.069,38
,"Adiposity intercept",-0.079,-0.288,0.13,54,,39
,"Body weight intercept",0.041,-0.123,0.204,109,,40
,"Glucose fasting",0.208,-0.178,0.594,7,,41
,"Glusoce tolerance",0.208,-0.035,0.451,26,,42
,"Insulin fasting",-0.21,-0.47,0.049,22,,43
,"Insulin tolerance",0.255,-0.078,0.589,12,,44
,"Leptin",0.039,-0.309,0.387,10,,45
,"Triglicerides",0.012,-0.219,0.242,32,,46
,"Adiposity – Body weight",0.119,-0.061,0.3,,,47
,"Adiposity – Glucose fasting",0.287,-0.107,0.68,,,48
,"Adiposity – Glucose tolerance",0.287,0.041,0.533,,,49
