"Data","Exposure duration to obesogenic diet","Mean","CI.lb","CI.ub","p","R2","row"
"One-off lnRR",,,,,,0.002,1
,"Intercept",0.083,-0.075,0.241,0.301,,2
,"Slope",-0.008,-0.029,0.012,0.413,,3
"One-off lnCVR",,,,,,0.015,4
,"Intercept",0.015,-0.145,0.174,0.856,,5
,"Slope",-0.053,-0.162,0.055,0.336,,6
"Multigenerational lnRR",,,,,,0.017,7
,"Intercept",0.354,0.085,0.623,0.01,,8
,"Slope",0.063,-0.069,0.194,0.351,,9
"Multigenerational lnCVR",,,,,,0,10
,"Intercept",-0.073,-0.288,0.143,0.508,,11
,"Slope",-0.003,-0.127,0.121,0.964,,12
