"Data","Grand-offspring generation","Mean","CI.lb","CI.ub","k","R2","row"
"One-off lnRR",,,,,,0.004,1
,"F2",0.091,-0.072,0.254,82,,2
,"F3",0.059,-0.11,0.227,325,,3
,"F2 – F3",-0.032,-0.082,0.017,,,4
"One-off lnCVR",,,,,,0.02,5
,"F2",0.06,-0.102,0.223,82,,6
,"F3",-0.087,-0.323,0.149,325,,7
,"F2 – F3",-0.147,-0.374,0.079,,,8
"Multigenerational lnRR",,,,,,0.009,9
,"F2",0.378,0.115,0.64,82,,10
,"F3",0.263,-0.038,0.565,325,,11
,"F2 – F3",-0.114,-0.299,0.07,,,12
"Multigenerational lnCVR",,,,,,0.002,13
,"F2",-0.084,-0.304,0.136,82,,14
,"F3",-0.025,-0.35,0.301,325,,15
,"F2 – F3",0.059,-0.249,0.368,,,16
