"Data","Sex of exposed grandparents","Mean","CI.lb","CI.ub","k","R2","row"
"One-off lnRR",,,,,,0.001,1
,"Females",0.09,-0.07,0.25,212,,2
,"Males",0.073,-0.091,0.237,48,,3
,"Both sexes",0.099,-0.074,0.272,12,,4
,"Females – Males",-0.016,-0.065,0.032,,,5
,"Females – Both",0.009,-0.061,0.08,,,6
,"Males – Both",0.026,-0.052,0.104,,,7
"One-off lnCVR",,,,,,0.006,8
,"Females",0.031,-0.155,0.217,212,,9
,"Males",0.02,-0.222,0.262,48,,10
,"Both sexes",0.196,-0.198,0.59,12,,11
,"Females – Males",-0.011,-0.234,0.212,,,12
,"Females – Both",0.165,-0.209,0.538,,,13
,"Males – Both",0.176,-0.229,0.58,,,14
"Multigenerational lnRR",,,,,,0.069,15
,"Females",0.412,0.14,0.683,85,,16
,"Males",0.146,-0.183,0.475,50,,17
,"Females – Males",-0.266,-0.517,-0.015,,,18
"Multigenerational lnCVR",,,,,,0.017,19
,"Females",-0.023,-0.252,0.206,85,,20
,"Males",-0.155,-0.425,0.116,50,,21
,"Females – Males",-0.132,-0.42,0.157,,,22
