"Data","Sex of measured grand-offspring","Mean","CI.lb","CI.ub","k","R2","row"
"One-off lnRR",,,,,,0.003,1
,"Females",0.087,-0.061,0.235,132,,2
,"Males",0.099,-0.049,0.247,128,,3
,"Both sexes",0.022,-0.161,0.205,4,,4
,"Females – Males",0.013,-0.023,0.048,,,5
,"Females – Both",-0.064,-0.188,0.06,,,6
,"Males – Both",-0.077,-0.2,0.046,,,7
"One-off lnCVR",,,,,,0.005,8
,"Females",0.015,-0.176,0.205,132,,9
,"Males",0.057,-0.134,0.248,128,,10
,"Both sexes",-0.148,-0.736,0.44,4,,11
,"Females – Males",0.042,-0.136,0.221,,,12
,"Females – Both",-0.163,-0.755,0.43,,,13
,"Males – Both",-0.205,-0.796,0.386,,,14
"Multigenerational lnRR",,,,,,0.002,15
,"Females",0.373,0.087,0.658,64,,16
,"Males",0.331,0.044,0.618,58,,17
,"Both sexes",0.364,-0.016,0.744,13,,18
,"Females – Males",-0.042,-0.157,0.074,,,19
,"Females – Both",-0.009,-0.366,0.348,,,20
,"Males – Both",0.033,-0.328,0.394,,,21
"Multigenerational lnCVR",,,,,,0.02,22
,"Females",-0.017,-0.259,0.225,64,,23
,"Males",-0.149,-0.388,0.089,58,,24
,"Both sexes",0.018,-0.351,0.388,13,,25
,"Females – Males",-0.133,-0.381,0.116,,,26
,"Females – Both",0.035,-0.337,0.407,,,27
,"Males – Both",0.168,-0.205,0.541,,,28
