Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,Shared_Control_Comments,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Age points,Age_Comment (Need to standardize into days),Sex,Generation,Adiposity_Type,Units,Units_Converted,Mean_Control_Orig,SD_Control_Orig,SEM_Control_Orig,Sample_Size_Control_Comments,Sample_Size_n_Control,Exact_or_Estimate_Sample_Size_Control,Control_Group_Comments,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_Treatment_Comments,Sample_Size_n_Treatment,Exact_or_Estimate_Sample_Size_Treatment,Source,Group_Label_Paper,Notes_and_Comments
Armitage2007,Armitage2007ffm,Rat ,SD,1,,Female,f-f-m ,One off,Standard,180,,,Male,F2,Visceral Fat Pads,% Body Weight,,1.9,0.687895341,0.26,,7,Exact,,2.36,0.832826513,0.34,,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)","The control value seems completely off, authors must've made a mistake and so we have corrected it"
Armitage2007,Armitage2007fff,Rat,SD,2,,Female,f-f-f,One off,Standard,180,,,Female,F2,Visceral Fat Pads,% Body Weight,,2.27,0.449777723,0.17,,7,Exact,,2.81,0.955301,0.39,,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,,Male,m-fm-f,Multigenerational,HFD,84,,,Female,F2,Brown Adipose Tissue,mg,g,408.4,115.8283212,51.8,,5,Exact,,520.7,70.43614129,31.5,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,,Male,m-fm-f,Multigenerational,HFD,84,,,Female,F2,Mesenteric White Adipose Tissue,g,,4.5,2.01246118,0.9,,5,Exact,,5.9,2.01246118,0.9,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,3,,Male,m-fm-f,Multigenerational,HFD,84,,,Female,F2,Gonadal WAT,g,,4.6,1.118033989,0.5,,5,Exact,,9.2,2.01246118,0.9,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,4,,Male,m-fm-f,Multigenerational,HFD,84,,,Female,F2,Retroperitoneal WAT,g,,4.1,0.670820393,0.3,,5,Exact,,11.6,2.236067977,1,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mmfO,Rat,SD,1,,Male,m-m-f,One off,Standard,84,,,Female,F2,Brown Adipose Tissue,mg,,408.4,115.8283212,51.8,,5,Exact,,371.1,81.61648118,36.5,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",
Barbosa2016,Barbosa2016mmfO,Rat,SD,2,,Male,m-m-f,One off,Standard,84,,,Female,F2,Mesenteric White Adipose Tissue,g,,4.5,2.01246118,0.9,,5,Exact,,3.5,0.894427191,0.4,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",
Barbosa2016,Barbosa2016mmfO,Rat,SD,3,,Male,m-m-f,One off,Standard,84,,,Female,F2,Gonadal WAT,g,,4.6,1.118033989,0.5,,5,Exact,,4.7,1.565247584,0.7,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",
Barbosa2016,Barbosa2016mmfO,Rat,SD,4,,Male,m-m-f,One off,Standard,84,,,Female,F2,Retroperitoneal WAT,g,,4.1,0.670820393,0.3,,5,Exact,,4.1,1.341640786,0.6,,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,5,,Male,m-fm-m,Multigenerational,HFD,84,,,Male,F2,Brown Adipose Tissue,mg,g,411.1,141.6817561,40.9,,12,Estimate,,588.4,189.8327685,54.8,,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,6,,Male,m-fm-m,Multigenerational,HFD,84,,,Male,F2,Mesenteric White Adipose Tissue,g,,5.6,1.732050808,0.5,,12,Estimate,,10.2,4.156921938,1.2,,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
Barbosa2016,Barbosa2016mfmfM,Rat,SD,7,,Male,m-fm-m,Multigenerational,HFD,84,,,Male,F2,Gonadal WAT,g,,9.2,3.117691454,0.9,,12,Estimate,,20.8,6.235382907,1.8,,12,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",
