Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Adiposity,Visceral Fat Pads,Armitage2007,Armitage2007ffm,Rat,SD,1,Female,f-f-m,One off,Standard,180,Male,F2,1.9,0.687895341,0.26,7,Exact,2.36,0.832826513,0.34,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.216807733,0.039481292
Adiposity,Visceral Fat Pads,Armitage2007,Armitage2007fff,Rat,SD,2,Female,f-f-f,One off,Standard,180,Female,F2,2.27,0.449777723,0.17,7,Exact,2.81,0.955301,0.39,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.213404652,0.024871166
Adiposity,Brown Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,408.4,115.8283212,51.8,5,Exact,520.7,70.43614129,31.5,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.242926974,0.019747185
Adiposity,Mesenteric White Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.5,2.01246118,0.9,5,Exact,5.9,2.01246118,0.9,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.270874954,0.063269176
Adiposity,Gonadal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,3,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.6,1.118033989,0.5,5,Exact,9.2,2.01246118,0.9,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.693147181,0.021384688
Adiposity,Retroperitoneal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,4,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.1,0.670820393,0.3,5,Exact,11.6,2.236067977,1,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",1.040018124,0.012785585
Adiposity,Brown Adipose Tissue,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,408.4,115.8283212,51.8,5,Exact,371.1,81.61648118,36.5,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.095775518,0.025761431
Adiposity,Mesenteric White Adipose Tissue,Barbosa2016,Barbosa2016mmfO,Rat,SD,2,Male,m-m-f,One off,Standard,84,Female,F2,4.5,2.01246118,0.9,5,Exact,3.5,0.894427191,0.4,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.251314428,0.053061224
Adiposity,Gonadal WAT,Barbosa2016,Barbosa2016mmfO,Rat,SD,3,Male,m-m-f,One off,Standard,84,Female,F2,4.6,1.118033989,0.5,5,Exact,4.7,1.565247584,0.7,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.021506205,0.033996728
Adiposity,Retroperitoneal WAT,Barbosa2016,Barbosa2016mmfO,Rat,SD,4,Male,m-m-f,One off,Standard,84,Female,F2,4.1,0.670820393,0.3,5,Exact,4.1,1.341640786,0.6,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0,0.02676978
