Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Body_Weight,None,Sarker2018,Sarker2018fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,91,Male,F2,29.941,4.191562954,0.605,48,Exact,32.93,1.98,0.27,52,Exact,Fig 4,"mCTR (Control), mHFD (Treatment)",0.095155318,0.000477824
Body_Weight,None,Sarker2018,Sarker2018fmmm,Mouse,C57BL/6,2,Female,f-m-m-m,One off,Standard,91,Male,F3,30.98,2.359279127,0.503,22,Exact,32.47,2.3,0.45,26,Exact,Fig 4,"mCTR (Control), mHFD (Treatment)",0.046974751,0.000456599
Body_Weight,None,Sarker2018,Sarker2018fmf,Mouse,C57BL/6,3,Female,f-m-f,One off,Standard,91,Female,F2,23.774,1.58391919,0.28,32,Exact,25.55,1.4,0.24,34,Exact,Fig 4,"fCTR (Control), fHFD (Treatment)",0.07204477,0.000227018
Body_Weight,None,Sarker2018,Sarker2018fmmf,Mouse,C57BL/6,4,Female,f-m-m-f,One off,Standard,91,Female,F3,25.176,2.312094289,0.517,20,Exact,25.99,1.26,0.25,26,Exact,Fig 4,"fCTR (Control), fHFD (Treatment)",0.031820689,0.000512101
Body_Weight,None,Sarker2018,Sarker2018fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,28,Male,F2,18.494,2.979127389,0.43,48,Exact,19.67,2.3,0.32,52,Exact,Fig 4,"mCTR (Control), mHFD (Treatment)",0.061648277,0.000803531
Body_Weight,None,Sarker2018,Sarker2018fmmm,Mouse,C57BL/6,2,Female,f-m-m-m,One off,Standard,28,Male,F3,17.924,3.039389412,0.648,22,Exact,20.6,1.62,0.32,26,Exact,Fig 4,"mCTR (Control), mHFD (Treatment)",0.139150479,0.001544874
Body_Weight,None,Sarker2018,Sarker2018fmf,Mouse,C57BL/6,3,Female,f-m-f,One off,Standard,28,Female,F2,14.615,2.093036072,0.37,32,Exact,15.94,1.33,0.23,34,Exact,Fig 4,"fCTR (Control), fHFD (Treatment)",0.086783275,0.000845684
Body_Weight,None,Sarker2018,Sarker2018fmmf,Mouse,C57BL/6,4,Female,f-m-m-f,One off,Standard,28,Female,F3,16.097,2.052710403,0.459,20,Exact,16.1,1.51,0.3,26,Exact,Fig 4,"fCTR (Control), fHFD (Treatment)",0.000186353,0.001151405
Body_Weight,None,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,26.15384615,1.480460834,0.604395604,6,Estimate,25.22,0.67,0.27,6,Estimate,Fig 3,Male chow (Control) 3hf(maternal)male (treatment),-0.036358929,0.000651664
Body_Weight,None,Dunn2011,Dunn2011fmmm,Mouse,C57BL/6,1,Female,f-m-m-m,One off,Standard,140,Male,F3,26.15384615,1.480460834,0.604395604,6,Estimate,26.26,1.08,0.44,6,Estimate,Fig 3,Male chow (Control) 3hf(paternal)male (treatment),0.004050609,0.000815945
Body_Weight,None,Dunn2011,Dunn2011fmff,Mouse,C57BL/6,2,Female,f-m-f-f,One off,Standard,140,Female,F3,22.45614035,0.644602564,0.263157895,6,Estimate,22.72,0.64,0.26,6,Estimate,Fig 3,Female chow (Control) 3hf(maternal)female (treatment),0.011681505,0.000269578
Body_Weight,None,Dunn2011,Dunn2011fmmf,Mouse,C57BL/6,2,Female,f-m-m-f,One off,Standard,140,Female,F3,22.45614035,0.644602564,0.263157895,6,Estimate,23.55,1.4,0.57,6,Estimate,Fig 3,Female chow (Control) 3hf(paternal)female (treatment),0.047561731,0.00072634
Body_Weight,None,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,21,Male,F3,9.84375,1.530931089,0.625,6,Estimate,10,1.15,0.47,6,Estimate,Fig 3,Male chow (Control) 3hf(maternal)male (treatment),0.015748357,0.006235409
Body_Weight,None,Dunn2011,Dunn2011fmmm,Mouse,C57BL/6,1,Female,f-m-m-m,One off,Standard,21,Male,F3,9.84375,1.530931089,0.625,6,Estimate,10.47,1.53,0.62,6,Estimate,Fig 3,Male chow (Control) 3hf(paternal)male (treatment),0.061677289,0.007590326
Body_Weight,None,Dunn2011,Dunn2011fmff,Mouse,C57BL/6,2,Female,f-m-f-f,One off,Standard,21,Female,F3,9.189189189,1.32404851,0.540540541,6,Estimate,9.46,0.99,0.41,6,Estimate,Fig 3,Female chow (Control) 3hf(maternal)female (treatment),0.029044678,0.005285519
Body_Weight,None,Dunn2011,Dunn2011fmmf,Mouse,C57BL/6,2,Female,f-m-m-f,One off,Standard,21,Female,F3,9.189189189,1.32404851,0.540540541,6,Estimate,9.86,0.99,0.41,6,Estimate,Fig 3,Female chow (Control) 3hf(paternal)female (treatment),0.070458464,0.005140424
Body_Weight,None,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,29.45,1.58,0.44,13,Exact,Fig 2F,2Ch(Control) 2HF(M) (Treatment),-0.043730035,0.000841971
Body_Weight,None,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,21.33,1.84,0.56,11,Exact,Fig 2G,2Ch(Control) 2HF(M) (Treatment),-0.010519049,0.001101615
Body_Weight,None,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,28.8,2.28,0.66,12,Exact,Fig 2F,2Ch(Control) 2HF(P) (Treatment),-0.066048558,0.00114284
Body_Weight,None,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,22.56,6.54,1.89,12,Exact,Fig 2G,2Ch(Control) 2HF(P) (Treatment),0.045544845,0.007428317
Body_Weight,None,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,98,Male,F2,30.76642336,2.867693618,0.766423358,14,Exact,31.86,7.12,2.52,8,Exact,Fig 2F,2Ch(Control) 2HF(MP) (Treatment),0.03492736,0.006863346
Body_Weight,None,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,98,Female,F2,21.55555556,1.474055462,0.444444444,11,Exact,23.22,2.33,0.78,9,Exact,Fig 2G,2Ch(Control) 2HF(MP) (Treatment),0.074380394,0.001543905
Body_Weight,None,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,42,Male,F2,19.28852508,1.744459868,0.466226511,14,Exact,19.44,1.68,0.47,13,Exact,Fig 2F,2Ch(Control) 2HF(M) (Treatment),0.007822435,0.001158736
