Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Insulin,ITT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,272.3529412,85.49671679,38.23529412,5,Estimate,457.6470588,165.7320972,74.11764706,5,Estimate,Fig2E,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.51899947,0.045938016
Insulin,ITT,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,272.3529412,85.49671679,38.23529412,5,Estimate,156.4705882,96.01938962,42.94117647,5,Estimate,Fig2E,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.554230746,0.095024174
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,103.125,19.28973172,7.875,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.249097289,0.014067853
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,101.7413793,24.57936259,10.03448276,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.244943597,0.018719272
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,104.0795455,27.55675961,11.25,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.258310912,0.019919983
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,103.362069,29.47834208,12.03448276,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.260747557,0.022547946
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,80.38636364,17.87014108,7.295454545,6,Estimate,93.47727273,23.46499833,9.579545455,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.150873779,0.018738586
Insulin,ITT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,79.63793103,18.49787082,7.551724138,6,Estimate,92.67241379,23.48131547,9.586206897,6,Estimate,NA,2Ch(Control) 2HF(M) (Treatment),0.151580343,0.019692136
Insulin,ITT,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,115.4299065,21.75464266,9.728971963,5,Estimate,100.7102804,14.73297125,6.588785047,5,Estimate,NA,Male chow (Control) 3hf(maternal)male (treatment),-0.136415592,0.011384096
Insulin,ITT,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,115.4299065,21.75464266,9.728971963,5,Estimate,96.95327103,12.09984448,5.411214953,5,Estimate,NA,Male chow (Control) 3hf(maternal)male (treatment),-0.174434355,0.010218953
Insulin,ITT,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,104.9918919,7.723499663,3.454054054,5,Estimate,112.9216216,17.07872461,7.637837838,5,Estimate,NA,Male chow (Control) 3hf(maternal)male (treatment),0.072810837,0.005657251
Insulin,ITT,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,104.9918919,7.723499663,3.454054054,5,Estimate,100.6864865,11.47646781,5.132432432,5,Estimate,NA,Male chow (Control) 3hf(maternal)male (treatment),-0.041871532,0.003680686
Insulin,ITT,Gniuli2008,Gniuli2008O,Mouse,Swiss,1,Female,f-f-fm,One off,Standard,60,Both,F2,1264.957265,444.4444444,140.5456738,10,Estimate,820.5128205,205.1282051,64.86723405,10,Estimate,NA,"CF2C(Control), HFF2C(Treatment)",-0.432864082,0.018594777
Insulin,ITT,Gniuli2008,Gniuli2008M,Mouse,Swiss,1,Female,f-f-fm,Multigenerational,Standard,60,Both,F2,1264.957265,444.4444444,140.5456738,10,Estimate,444.4444444,512.8205128,162.1680851,10,Estimate,NA,"CF2C(Control), HFF2HF(Treatment)",-1.045968555,0.145480872
Insulin,ITT,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,3407.608696,352.173913,157.4969619,5,Estimate,5550,1041.847826,465.9285123,5,Estimate,Fig 1,NCF2 (Control) HFF2(Treatment),0.487787145,0.009183999
Insulin,ITT,Sarker2018,Sarker2018fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,98,Male,F2,445.7386364,133.546758,47.21590909,8,Exact,639.0340909,234.3094743,82.84090909,8,Exact,NA,"mCTR (Control), mHFD (Treatment)",0.36022504,0.028025723
Insulin,ITT,Sarker2018,Sarker2018fmmm,Mouse,C57BL/6,2,Female,f-m-m-m,One off,Standard,98,Male,F3,439.7191011,109.6412762,38.76404494,8,Exact,542.8651685,161.6017071,57.13483146,8,Exact,NA,"mCTR (Control), mHFD (Treatment)",0.210724864,0.01884844
Insulin,ITT,Sarker2018,Sarker2018fmf,Mouse,C57BL/6,3,Female,f-m-f,One off,Standard,98,Female,F2,269.1477273,82.9243407,29.31818182,8,Exact,299.6590909,63.63961031,22.5,8,Exact,NA,"fCTR (Control), fHFD (Treatment)",0.107385064,0.017503486
Insulin,ITT,Sarker2018,Sarker2018fmmf,Mouse,C57BL/6,4,Female,f-m-m-f,One off,Standard,98,Female,F3,466.3483146,101.0606546,35.73033708,8,Exact,395.2247191,95.34024016,33.70786517,8,Exact,NA,"fCTR (Control), fHFD (Treatment)",-0.165478299,0.013144224
Insulin,Fasting_Insulin,Ding2014,Li2012b,Mouse,C57BL/6,1,Female,f-f-f,Multigenerational,NA,270,Female,F2,0.187012987,0.058441558,0.019480519,9,Estimate,1.601298701,1.694805195,0.564935065,9,Estimate,Fig2A,"NC F2(Control), HF F2 (Treatment)",2.147392203,0.135317161
Insulin,Fasting_Insulin,Graus-Nunes2015,Graus-Nunes2015,Mouse,C57BL/6,1,Female,f-f-m,One off,Standard,90,Male,F2,4.47,1.252198067,0.56,5,Exact,6.71,0.290688837,0.13,5,Exact,Table 2,F2SC (Control) F2HF (Treatment),0.406210542,0.016070343
Insulin,Fasting_Insulin,Hanafi2015,Hanafi2015fmm,Rat,Wistar,1,Female,f-m-m,One off,Standard,210,Male,F2,0.34,0.063245553,0.02,10,Exact,0.33,0.063245553,0.02,10,Exact,Table4,"F2-CF1 (Control), F2-OF1M(Treatment)",-0.029852963,0.007133302
Insulin,Fasting_Insulin,Hanafi2015,Hanafi2015ffm,Rat,Wistar,1,Female,f-f-m,One off,Standard,210,Male,F2,0.34,0.063245553,0.02,10,Exact,0.33,0.075894664,0.024,10,Exact,Table4,"F2-CF1 (Control), F2-OF1F(Treatment)",-0.029852963,0.008749464
Insulin,Fasting_Insulin,Hanafi2015,Hanafi2015fmf,Rat,Wistar,2,Female,f-m-f,One off,Standard,210,Female,F2,0.36,0.066407831,0.021,10,Exact,0.35,0.075894664,0.024,10,Exact,Table4,"F2-CF1 (Control), F2-OF1M(Treatment)",-0.028170877,0.008104819
Insulin,Fasting_Insulin,Hanafi2015,Hanafi2015fff,Rat,Wistar,2,Female,f-f-f,One off,Standard,210,Female,F2,0.36,0.066407831,0.021,10,Exact,0.38,0.126491106,0.04,10,Exact,Table4,"F2-CF1 (Control), F2-OF1F(Treatment)",0.054067221,0.01448311
Insulin,Fasting_Insulin,Li2012,Li2012a,Mouse,C57BL/6,1,Female,f-f-fm,Multigenerational,HFD,90,Male,F2,0.11,0.13,0.06,5,Estimate,2.29,1.37,0.6,5,Estimate,Table 1,NCF2 (Control) HFF2(Treatment),3.035826731,0.350920239
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,One off,Standard,168,Female,F3,2.89,1.71,0.49,12,Estimate,3.049382716,1.026400479,0.296296296,12,Estimate,NA,"I(Control), II(Treatment)",0.05368268,0.038616527
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,168,Female,F3,2.89,1.71,0.49,12,Estimate,3.802469136,1.667900778,0.481481481,12,Estimate,NA,"I(Control), III(Treatment)",0.274394126,0.045208777
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmf,Mouse,ICR,1,Male,m-m-m-f,Multigenerational,Standard,168,Female,F3,2.89,1.71,0.49,12,Estimate,4.037037037,1.411300658,0.407407407,12,Estimate,NA,"I(Control), IV(Treatment)",0.334254514,0.039359625
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,One off,Standard,168,Male,F3,2.88,1.8,0.52,12,Estimate,3.098765432,1.368533971,0.395061728,12,Estimate,NA,"I(Control), II(Treatment) - MALES",0.07321349,0.048805794
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,168,Male,F3,2.88,1.8,0.52,12,Estimate,4,0.983633792,0.283950617,12,Estimate,NA,"I(Control), III(Treatment) - MALES",0.328504067,0.03759133
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mmmm,Mouse,ICR,2,Male,m-m-m-m,Multigenerational,Standard,168,Male,F3,2.88,1.8,0.52,12,Estimate,4.296296296,1.026400479,0.296296296,12,Estimate,NA,"I(Control), IV(Treatment) - MALES",0.399963031,0.037308326
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mfmfmf,Mouse,ICR,3,Male,m-fm-fm-f,One off,Standard,168,Female,F3,2.89,1.39,0.4,12,Estimate,3.093333333,0.692820323,0.2,12,Estimate,NA,"Alpha (Control), Beta (Treatment)",0.067992756,0.023457878
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016hffmfmf,Mouse,ICR,3,Female,f-fm-fm-f,One off,Standard,168,Female,F3,2.89,1.39,0.4,12,Estimate,3.786666667,1.062324495,0.306666667,12,Estimate,NA,"Alpha (Control), Theta (Treatment)",0.270229623,0.025836305
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016fmfmfmf,Mouse,ICR,3,Both,fm-fm-fm-f,One off,Standard,168,Female,F3,2.89,1.39,0.4,12,Estimate,3.88,1.431828668,0.413333333,12,Estimate,NA,"Alpha (Control), Omega (Treatment)",0.294578652,0.030626059
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016mfmfmm,Mouse,ICR,4,Male,m-fm-fm-m,One off,Standard,168,Male,F3,3.09,1.39,0.4,12,Estimate,3.2,0.692820323,0.2,12,Estimate,NA,"Alpha (Control), Beta (Treatment)males",0.034979719,0.020769116
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016ffmfmm,Mouse,ICR,4,Female,f-fm-fm-m,One off,Standard,168,Male,F3,3.09,1.39,0.4,12,Estimate,4.08,1.108512517,0.32,12,Estimate,NA,"Alpha (Control), Theta (Treatment) males",0.277925898,0.023014346
Insulin,Fasting_Insulin,Masuyama2016,Masuyama2016fmfmfmm,Mouse,ICR,4,Both,fm-fm-fm-m,One off,Standard,168,Male,F3,3.09,1.39,0.4,12,Estimate,4.186666667,1.385640646,0.4,12,Estimate,NA,"Alpha (Control), Omega (Treatment) males",0.303733782,0.025991026
Insulin,Fasting_Insulin,Park2018,Park2018mfmf,Mouse,C57BL/6,1,Male,m-fm-f,One off,Standard,189,Female,F2,0.675925926,0.23570226,0.083333333,8,Estimate,0.62037037,0.23570226,0.083333333,8,Estimate,NA,F2 female to CD (Control) F2 female to HFD (treatment),-0.085766822,0.033243958
Insulin,Fasting_Insulin,Park2018,Park2018mfmm,Mouse,C57BL/6,2,Male,m-fm-m,One off,Standard,189,Male,F2,1,0.733295921,0.259259259,8,Estimate,1.018518519,0.18332398,0.064814815,8,Estimate,NA,F2 male to CD (Control) F2 male to HFD (treatment),0.018349139,0.07126495
Insulin,Fasting_Insulin,Sarker2018,Sarker2018fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,98,Male,F2,4.461538462,2.939387691,1.2,6,Exact,7.046153846,1.507378303,0.615384615,6,Exact,NA,"mCTR (Control), mHFD (Treatment)",0.456988261,0.079970069
Insulin,Fasting_Insulin,Sarker2018,Sarker2018fmf,Mouse,C57BL/6,3,Female,f-m-f,One off,Standard,98,Female,F2,0.646153846,0.452213491,0.184615385,6,Exact,1.323076923,0.678320236,0.276923077,6,Exact,NA,"fCTR (Control), fHFD (Treatment)",0.716677678,0.125440117
Insulin,Fasting_Insulin,Sarker2018,Sarker2018fmmm,Mouse,C57BL/6,2,Female,f-m-m-m,One off,Standard,98,Male,F3,3.803921569,2.305402111,0.941176471,6,Exact,9.921568627,3.169927902,1.294117647,6,Exact,NA,"mCTR (Control), mHFD (Treatment)",0.95867851,0.078231215
Insulin,Fasting_Insulin,Sarker2018,Sarker2018fmmf,Mouse,C57BL/6,4,Female,f-m-m-f,One off,Standard,98,Female,F3,1.68627451,0.960584213,0.392156863,6,Exact,1.176470588,0.672408949,0.274509804,6,Exact,NA,"fCTR (Control), fHFD (Treatment)",-0.360002734,0.108527733
Insulin,Fasting_Insulin,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,514,75.89466384,24,10,Exact,868,60.08327554,19,10,Exact,NA,"Control(Control), HFD(Treatment)",0.523968449,0.002659345
