Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Body_Weight,None,Armitage2007,Armitage2007fff,Rat,SD,2,Female,f-f-f,One off,Standard,180,Female,F2,274.4,24.87006232,9.4,7,Exact,284.7,20.09,8.2,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",-0.233625017,0.18533676
Body_Weight,None,Armitage2007,Armitage2007ffm,Rat,SD,1,Female,f-f-m,One off,Standard,180,Male,F2,469.7,39.1571194,14.8,7,Exact,500.1,64.91,26.5,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.459372221,0.187133929
Adiposity,Visceral Fat Pads,Armitage2007,Armitage2007ffm,Rat,SD,1,Female,f-f-m,One off,Standard,180,Male,F2,1.9,0.687895341,0.26,7,Exact,2.36,0.832826513,0.34,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",-0.008952419,0.222814625
Adiposity,Visceral Fat Pads,Armitage2007,Armitage2007fff,Rat,SD,2,Female,f-f-f,One off,Standard,180,Female,F2,2.27,0.449777723,0.17,7,Exact,2.81,0.955301,0.39,6,Exact,Table 2,"Control Diet F2 (Control), Fat-rich diet F2 (Treatment)",0.556534977,0.2082045
Body_Weight,None,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,154,Female,F2,348.5,28.5229732,8.6,11,Estimate,339,31.18,9.4,11,Estimate,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.116705147,0.101378023
Body_Weight,None,Barbosa2016,Barbosa2016mmmO,Rat,SD,2,Male,m-m-m,One off,Standard,154,Male,F2,619.6,61.40651431,13.4,21,Estimate,619,59.57,13,21,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.029394998,0.050908737
Body_Weight,None,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,77,Female,F2,269.0625,14.92481156,4.5,11,Estimate,263.44,16.79,5.06,11,Estimate,Fig2,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.138876494,0.100648988
Glucose,GTT,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,1294.936712,318.427402,142.4050634,5,Exact,1568.35443,367.2529368,164.2405063,5,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.048908813,0.273060152
Insulin,ITT,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,272.3529412,85.49671679,38.23529412,5,Estimate,156.4705882,96.01938962,42.94117647,5,Estimate,Fig2E,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.670302917,0.345024174
Adiposity,Brown Adipose Tissue,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,408.4,115.8283212,51.8,5,Exact,371.1,81.61648118,36.5,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.25430237,0.275761431
Adiposity,Mesenteric White Adipose Tissue,Barbosa2016,Barbosa2016mmfO,Rat,SD,2,Male,m-m-f,One off,Standard,84,Female,F2,4.5,2.01246118,0.9,5,Exact,3.5,0.894427191,0.4,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.559615788,0.303061224
Adiposity,Gonadal WAT,Barbosa2016,Barbosa2016mmfO,Rat,SD,3,Male,m-m-f,One off,Standard,84,Female,F2,4.6,1.118033989,0.5,5,Exact,4.7,1.565247584,0.7,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.314966031,0.283996728
