"","ES_ID","Paper_ID","Study_ID","Cohort_ID","Cohort_ID_Control","Shared_Control_Code","Title","Journal","Year","Rodent_Type","Rodent_Strain","Exposure_Type","F0_Parent_Exposed","Treatment_Diet_Code","Treatment_Diet_Notes","Treatment_Diet_Prot_pww","Treatment_Diet_Carb_pww","Treatment_Diet_Fat_pww","Treatment_Diet_Energy_kcal_g","Treatment_Diet_Prot_pE","Treatment_Diet_Carb_pE","Treatment_Diet_Fat_pE","Treatment_Diet_PC_ratio","Treatment_Diet_PNP_ratio","Treatment_Start_F0","Treatment_End_F0","Treatment_Duration_F0","Treatment_Duration_F0_Notes","Offspring_Generation","Offspring_Sex","Lineage_HFD","Age_at_Measurement_Days","Diet_at_Measurement","Trait","Trait_Info","Unit_of_Measurement","Mean_Control","SD_Control","SEM_Control","Sample_Size_n_Control","Estimated_or_Exact_Sample_Control","Mean_Treatment","SD_Treatment","SEM_Treatment","Sample_Size_n_Treatment","Estimated_or_Exact_Sample_Treatment","Data_Source","Group_Label_Paper","Notes","lnRR","VlnRR","lnCVR","VlnCVR"
"1","ES_1","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Adiposity","White Adipose Tissue","g",9.72222222222225,4.83125753636836,1.52777777777778,10,"Exact",37.6388888888889,9.66251507273672,3.05555555555556,10,"Exact","Fig 4","Control(Control), HFD(Treatment)",NA,1.35362357883034,0.0312842017568454,-0.660476398270394,0.142395312867956
"2","ES_2","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Adiposity","Epididymal Fat Weight","g",4.65060240963855,0.838194078598852,0.265060240963857,10,"Exact",9.63855421686747,2.43838277410573,0.771084337349397,10,"Exact","Fig 2","Control(Control), HFD(Treatment)",NA,0.728774358203097,0.00964840935327122,0.33906627179825,0.120759520464382
"3","ES_3","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Adiposity","Subcutaneous Fat Weight","g",2.84745762711865,2.57270046928953,0.813559322033899,10,"Exact",9.35593220338983,2.14391705774127,0.677966101694913,10,"Exact","Fig 5","Control(Control), HFD(Treatment)",NA,1.18958406687383,0.0868836507507852,-1.37190562366779,0.197994761861896
"4","ES_4","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Adiposity","Retriperitoneal Fat Weight","g",3.24489795918367,2.51691487237891,0.795918367346937,10,"Exact",15.3673469387755,3.87217672673679,1.22448979591837,10,"Exact","Fig 3","Control(Control), HFD(Treatment)",NA,1.55516102557966,0.0665128649147154,-1.12437810948721,0.177623976025826
"5","ES_5","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Body_Weight","None","g",205.5,3.794733192,1.2,10,"Exact",320.7,7.27,2.3,10,"Exact","Table 1","Control(Control), HFD(Treatment)",NA,0.44506007276282,0.0000854878668952327,0.205082115544877,0.111196598978006
"6","ES_6","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Insulin_FI","FI","pmol/L",514,75.89466384,24,10,"Exact",868,60.08327554,19,10,"Exact","Table 9","Control(Control), HFD(Treatment)",NA,0.523968449205185,0.00265934542124574,-0.757583300386691,0.113770456532357
"7","ES_7","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Leptin","Serum","ng/ml",22.19512,1.349753,0.4268293,10,"Exact",29.7561,2.313862,0.7317073,10,"Exact","Fig 7","Control(Control), HFD(Treatment)",NA,0.293161708095708,0.000974498955292434,0.245834669157589,0.112085610066404
"8","ES_8","Adedeji2019","Adedeji_Olapade-Olaopa","Adedeji2019","Adedeji2019_1",1,"Multigenerational effects of dietary macronutrient intake on the metabolic phenotype of male Wistar rats","Nutrition",2019,"Rat","Wistar","Multigenerational","Female","HFD_Adedeji","high-fat diet rodents; Adedeji et al. 2019; ""high-fat diet (HFD; 22% protein, 13.5% carbohydrates, 60% fat, and 4.5% crude fiber) amounting to 5.2 kcal/g""",22,18,60,5.2,12.6,10.3,77.1,1.22222222222222,0.282051282051282,-62,0,63,"9 weeks before mating","F2","Male","f-fm-m",84,"HFD","Triglycerides","Serum Triglyceride","mmol/L",1.27,1.264911064,0.4,10,"Exact",4.4,0.632455532,0.2,10,"Exact","Table 3","Control(Control), HFD(Treatment)",NA,1.24258764045372,0.101266314092092,-1.93573482101366,0.212377425203203
"9","ES_9","Andreas2019","Andreas_Moley","Andreas2019fffmF2","Andreas2019fffmF2_1",1,"The effect of maternal high-fat/high-sugar diet on offspring oocytes and early embryo development","Molecular Human Reproduction",2019,"Mouse","C57BL/6","One-off","Female","58R3","Test Diet 58R3 (similar to D12330); Thompson et al. 2019; ""high-fat/high-sugar (HF/HS)""",20,35,36,5.6,15,26,59,0.571428571428571,0.28169014084507,-42,42,84,"6 weeks before conception until weaning","F2","Both","f-f-fm",56,"Standard","Body_Weight","None","g",18.96,2.313,0.5172,20,"Exact",18.83,1.477,0.3947,14,"Exact","Supp Data provided by authors","F2 Chow (Control), F2 HF/HS (Treatment)",NA,-0.00688015415781481,0.0011835959047317,-0.429506476554391,0.0659609238399544
"10","ES_10","Andreas2019","Andreas_Moley","Andreas2019fffmF3","Andreas2019fffmF3_2",2,"The effect of maternal high-fat/high-sugar diet on offspring oocytes and early embryo development","Molecular Human Reproduction",2019,"Mouse","C57BL/6","One-off","Female","58R3","Test Diet 58R3 (similar to D12330); Thompson et al. 2019; ""high-fat/high-sugar (HF/HS)""",20,35,36,5.6,15,26,59,0.571428571428571,0.28169014084507,-42,42,84,"6 weeks before conception until weaning","F3","Both","f-f-fm",56,"Standard","Body_Weight","None","g",18.01,0.8442,0.2985,8,"Exact",17.12,1.052,0.3037,12,"Exact","Supp Data provided by authors","F3 Chow (Control), F3 HF/HS (Treatment)",NA,-0.0506797884742687,0.000589306854027619,0.2447647224495,0.117472423737145
