Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Glucose,GTT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,1294.936712,318.427402,142.4050634,5,Exact,2294.809322,503.1152949,225,5,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",0.572187933,0.021706834
Glucose,GTT,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,1294.936712,318.427402,142.4050634,5,Exact,1568.35443,367.2529368,164.2405063,5,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",0.191565113,0.023060152
Glucose,GTT,Dunn2009,Dunn2009ffm,Mouse,C57BL/6,1,Female,f-f-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,27277.31092,7203.558191,2722.689076,7,Exact,Fig3,2Ch(Control) 2HF(M) (Treatment),0.002081648,0.013128593
Glucose,GTT,Dunn2009,Dunn2009fff,Mouse,C57BL/6,2,Female,f-f-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,18623.76238,2455.552836,1002.475248,6,Exact,Fig3,2Ch(Control) 2HF(M) (Treatment),0.055330645,0.005672181
Glucose,GTT,Dunn2009,Dunn2009fmm,Mouse,C57BL/6,1,Female,f-m-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,24781.51274,2268.907562,1134.453781,4,Exact,Fig3,2Ch(Control) 2HF(P) (Treatment),-0.093875686,0.005261174
Glucose,GTT,Dunn2009,Dunn2009fmf,Mouse,C57BL/6,2,Female,f-m-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,19310.64356,3118.811881,1559.405941,4,Exact,Fig3,2Ch(Control) 2HF(P) (Treatment),0.091548757,0.009295915
Glucose,GTT,Dunn2009,Dunn2009ffmm,Mouse,C57BL/6,1,Female,f-fm-m,Multigenerational,HFD,126,Male,F2,27220.58824,3063.02521,1531.512605,4,Exact,25518.90756,2663.551561,1191.176471,5,Exact,Fig3,2Ch(Control) 2HF(MP) (Treatment),-0.064553957,0.005344381
Glucose,GTT,Dunn2009,Dunn2009ffmf,Mouse,C57BL/6,2,Female,f-fm-f,Multigenerational,HFD,126,Female,F2,17621.28713,2075.558147,928.2178218,5,Exact,20554.45545,2864.811642,1169.554455,6,Exact,Fig3,2Ch(Control) 2HF(MP) (Treatment),0.15397006,0.006012397
Glucose,GTT,Dunn2011,Dunn2011fmfm,Mouse,C57BL/6,1,Female,f-m-f-m,One off,Standard,140,Male,F3,24363.76404,4773.628267,2134.831461,5,Estimate,19061.79775,3062.031289,1369.382022,5,Estimate,Fig4,Male chow (Control) 3hf(maternal)male (treatment),-0.245410734,0.012838682
Glucose,GTT,Dunn2011,Dunn2011fmmm,Mouse,C57BL/6,1,Female,f-m-m-m,One off,Standard,140,Male,F3,24363.76404,4773.628267,2134.831461,5,Estimate,19125,2622.355002,1172.752809,5,Estimate,Fig4,Male chow (Control) 3hf(paternal)male (treatment),-0.242100569,0.011438021
Glucose,GTT,Dunn2011,Dunn2011fmff,Mouse,C57BL/6,2,Female,f-m-f-f,One off,Standard,140,Female,F3,19806.62983,2890.828214,1292.81768,5,Estimate,17129.83425,3724.720968,1665.745856,5,Estimate,Fig4,Female chow (Control) 3hf(maternal)female (treatment),-0.145195085,0.01371651
Glucose,GTT,Dunn2011,Dunn2011fmmf,Mouse,C57BL/6,2,Female,f-m-m-f,One off,Standard,140,Female,F3,19806.62983,2890.828214,1292.81768,5,Estimate,18248.61878,2538.740162,1135.359116,5,Estimate,Fig4,Female chow (Control) 3hf(paternal)female (treatment),-0.081927328,0.008131281
Glucose,GTT,Graus-Nunes2015,Graus-Nunes2015,Mouse,C57BL/6,1,Female,f-f-m,One off,Standard,90,Male,F2,15825.8427,1221.043862,546.0674157,5,Exact,17548.31461,1522.536173,680.8988764,5,Exact,Fig 3,F2SC (Control) F2HF (Treatment),0.103313694,0.002696128
