Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Body_Weight,None,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,205.5,3.794733192,1.2,10,Exact,320.7,7.27,2.3,10,Exact,Table 1,"Control(Control), HFD(Treatment)",0.205082116,0.111196599
Insulin,Fasting_Insulin,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,514,75.89466384,24,10,Exact,868,60.08327554,19,10,Exact,NA,"Control(Control), HFD(Treatment)",-0.7575833,0.113770457
Adiposity,White Adipose Tissue,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,9.72,4.83,1.53,10,Exact,37.64,9.66,3.06,10,Exact,NA,"Control(Control), HFD(Treatment)",-0.660734516,0.142389927
Adiposity,Epididymal Fat Weight,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,4.65,0.84,0.27,10,Exact,9.64,2.44,0.77,10,Exact,NA,"Control(Control), HFD(Treatment)",0.337297537,0.120780949
Adiposity,Subcutaneous Fat Weight,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,2.85,2.57,0.81,10,Exact,9.36,2.14,0.68,10,Exact,NA,"Control(Control), HFD(Treatment)",-1.372226366,0.197654489
Adiposity,Retriperitoneal Fat Weight,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,3.24,2.52,0.8,10,Exact,15.37,3.87,1.22,10,Exact,NA,"Control(Control), HFD(Treatment)",-1.127848622,0.177944718
Leptin,Serum,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,22.19512,1.349753,0.4268293,10,Exact,29.7561,2.313862,0.7317073,10,Exact,Fig 7,"Control(Control), HFD(Treatment)",0.245834669,0.11208561
Triglycerides,Serum Triglyceride,Adedeji2019,Adedeji2019,Rat,Wistar,1,Female,f-fm-m,Multigenerational,HFD,84,Male,F2,1.27,1.264911064,0.4,10,Exact,4.4,0.632455532,0.2,10,Exact,Table 3,"Control(Control), HFD(Treatment)",-1.935734821,0.212377425
Body_Weight,None,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,154,Female,F2,348.5,28.5229732,8.6,11,Estimate,374.1,31.51,9.5,11,Estimate,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.028710205,0.101253918
Body_Weight,None,Barbosa2016,Barbosa2016mfmmM,Rat,SD,2,Male,m-fm-m,Multigenerational,HFD,154,Male,F2,619.6,61.40651431,13.4,21,Estimate,736.9,64.61,14.1,21,Estimate,Supp Table T6,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.122524817,0.05083379
Body_Weight,None,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,77,Female,F2,269.0625,14.92481156,4.5,11,Estimate,267.38,22.39,6.75,11,Estimate,Fig2,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.411862224,0.100917184
Glucose,GTT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,1294.936712,318.427402,142.4050634,5,Exact,2294.809322,503.1152949,225,5,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.114763086,0.271706834
Glucose,FBG,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,7.1,0.793725393,0.3,7,Exact,7.4,0.529150262,0.2,7,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.446850324,0.169182487
Glucose,FBG,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,7.1,0.793725393,0.3,7,Exact,7,0.52915,0.2,7,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.391280969,0.169268352
Glucose,FBG,Barbosa2016,Barbosa2016mfmmM,Rat,SD,3,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,6.5,0.916515139,0.2,21,Exact,7.5,0.916515139,0.2,21,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.143100844,0.051657857
Glucose,FBG,Barbosa2016,Barbosa2016mfmmM,Rat,SD,3,Male,m-fm-m,Multigenerational,HFD,84,Male,F2,6.5,0.916515139,0.2,21,Exact,7.3,0.916515,0.3,21,Exact,"Fig2D, Supplementary Data","GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.116072323,0.051697355
Insulin,ITT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,272.3529412,85.49671679,38.23529412,5,Estimate,457.6470588,165.7320972,74.11764706,5,Estimate,Fig2E,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.142895167,0.295938016
Adiposity,Brown Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,408.4,115.8283212,51.8,5,Exact,520.7,70.43614129,31.5,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.740329577,0.269747185
Adiposity,Mesenteric White Adipose Tissue,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.5,2.01246118,0.9,5,Exact,5.9,2.01246118,0.9,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.270874954,0.313269176
Adiposity,Gonadal WAT,Barbosa2016,Barbosa2016mfmfM,Rat,SD,3,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,4.6,1.118033989,0.5,5,Exact,9.2,2.01246118,0.9,5,Exact,Supp Table T4,"GpatCD-CD(Control), GpatHF-HF(Treatment)",-0.105360516,0.271384688
