Trait,Trait_Info,Paper_ID,Cohort_ID,Rodent_type,Strain,Shared_Control,F0_Parent_Exposed,Lineage_HFD,Exposure_Type,F2_Diet_at_measurement,Age_Days,Sex,Generation,Mean_Control,SD_Control,SEM_Control,Sample_Size_n_Control,Estimated_or_Exact_sample_control.,Mean_Treatment,SD_Treatment,SEM_Treatment,Sample_Size_n_Treatment,Estimated_or_Exact_sample_treatment..,Source,Group_Label_Paper,yi,vi
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mfmfM,Rat,SD,1,Male,m-fm-f,Multigenerational,HFD,84,Female,F2,1.1,0.529150262,0.2,7,Estimate,2.3,0.793725393,0.3,7,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.737598943,0.050071084
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mfmfM,Rat,SD,2,Male,m-fm-f,Multigenerational,HFD,84,Male,F2,1.6,0.848528137,0.2,18,Estimate,2.4,0.848528137,0.2,18,Estimate,Supp,"GpatCD-CD(Control), GpatHF-HF(Treatment)",0.405465108,0.022569444
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mmfO,Rat,SD,1,Male,m-m-f,One off,Standard,84,Female,F2,1.1,0.529150262,0.2,7,Estimate,0.5,0.264575131,0.1,7,Estimate,Supp,"GpatCD-CD(Control), GpatHF-CD(Treatment)",-0.78845736,0.073057851
Triglycerides,Plasma Triglyceride,Barbosa2016,Barbosa2016mmfO,Rat,SD,2,Male,m-m-f,One off,Standard,84,Male,F2,1.6,0.848528137,0.2,18,Estimate,1.8,0.848528137,0.2,18,Estimate,Supp,"GpatCD-CD(Control), GpatHF-CD(Treatment)",0.117783036,0.027970679
Triglycerides,Plasma Triglyceride,King2013,King2013fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,180,Male,F2,0.54,0.056568542,0.02,8,Exact,0.63,0.15,0.05,9,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),0.15415068,0.007670558
Triglycerides,Hepatic Triglyceride,King2013,King2013fmm,Mouse,C57BL/6,1,Female,f-m-m,One off,Standard,180,Male,F2,17,3.42928564,1.4,6,Exact,18.2,6.93181073,3.1,5,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),0.06820825,0.035794204
Triglycerides,Plasma Triglyceride,King2013,King2013fmf,Mouse,C57BL/6,2,Female,f-m-f,One off,Standard,180,Female,F2,0.55,0.22627417,0.08,8,Exact,0.48,0.141421356,0.05,8,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.136132174,0.032007719
Triglycerides,Hepatic Triglyceride,King2013,King2013fmf,Mouse,C57BL/6,2,Female,f-m-f,One off,Standard,180,Female,F2,28.1,6.85857128,2.8,6,Exact,25.7,8.818163074,3.6,6,Exact,Table 2,mCON/pCON (Control) m/CON/pDIO (Treatment),-0.089278584,0.029550748
Triglycerides,Plasma Triglyceride,King2013,King2013ffm,Mouse,C57BL/6,3,Female,f-f-m,One off,Standard,180,Male,F2,0.54,0.056568542,0.02,8,Exact,0.65,0.12,0.04,9,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),0.185403223,0.005158724
Triglycerides,Hepatic Triglyceride,King2013,King2013ffm,Mouse,C57BL/6,3,Female,f-f-m,One off,Standard,180,Male,F2,17,3.42928564,1.4,6,Exact,16.7,4.409081537,1.8,6,Exact,Table 2,mCON/pCON (Control) mDIO/pCON (Treatment),-0.017804625,0.018399491
